Name,Team,POS,ADP,IP,mERA,mWHIP,mSO,mQS,mSVHLD,PTS,aPOS,Dollars,NameASCII,PlayerId,MLBAMID
Jedixson Paez ,CHW,RP,999,37.4566,-3.035620984,-2.777077667,-6.377267968,-3.54164989,-3.423455795,-19.15507231,10.53333333,-7.621738972,Jedixson Paez,sa3016264,699151
Ron Marinaccio ,SDP,RP,999,38.6735,-2.622529142,-3.333865718,-5.808866736,-3.54164989,-3.850732462,-19.15764395,10.53333333,-7.624310614,Ron Marinaccio,23488,676760
Gage Jump ,ATH,SP,999,36.9311,-3.35282438,-3.238108682,-6.236136517,-1.86385533,-4.486521931,-19.17744684,10.53333333,-7.644113506,Gage Jump,sa3034986,695611
Landen Roupp ,SFG,SP,693.1199951,120.686,-5.928710616,-11.079661,0.519984039,1.680479512,-4.383980688,-19.19188875,10.53333333,-7.658555417,Landen Roupp,30076,694738
Connor Prielipp ,MIN,RP,999,46.702,-2.817855783,-4.544647071,-5.258501093,-2.5851161,-3.999331059,-19.20545111,10.53333333,-7.672117772,Connor Prielipp,sa3020808,687570
Brent Suter ,LAA,RP,999,61.5136,-5.04104352,-4.238661989,-4.858419971,-3.54164989,-1.534400994,-19.21417636,10.53333333,-7.680843031,Brent Suter,13942,608718
Tyler Phillips ,MIA,RP,999,65.4155,-5.041320191,-6.06589856,-4.830497305,-3.530716385,0.24401206,-19.22442038,10.53333333,-7.691087049,Tyler Phillips,20629,663969
Kumar Rocker ,TEX,SP,731.9799805,91.5851,-6.816627951,-5.778799481,-2.10856245,-0.280225119,-4.271631246,-19.25584625,10.53333333,-7.722512914,Kumar Rocker,31843,677958
Tyler Ferguson ,ATH,RP,999,43.5951,-3.390823562,-4.719812479,-5.288710466,-3.54164989,-2.329357346,-19.27035374,10.53333333,-7.737020409,Tyler Ferguson,19481,621053
Chris Murphy ,CHW,RP,999,48.1745,-2.96800258,-5.04552892,-5.230668076,-3.54164989,-2.504990713,-19.29084018,10.53333333,-7.757506847,Chris Murphy,26214,669684
Ryan Weiss ,HOU,SP,999,77.6088,-5.795429245,-5.855914227,-2.501121645,-1.010089578,-4.153097693,-19.31565239,10.53333333,-7.782319055,Ryan Weiss,sa3007778,680802
Grant Holmes ,ATL,SP,379.4400024,132.23,-8.537578048,-10.75226228,2.125460178,2.071935549,-4.226362749,-19.31880735,10.53333333,-7.785474018,Grant Holmes,16944,656550
Will Warren ,NYY,SP,292.9299927,121.498,-8.877667138,-8.519616385,1.247965502,0.996074601,-4.332501119,-19.48574454,10.53333333,-7.952411206,Will Warren,30182,701542
Zack Littell ,WSN,SP,708.6199951,144.351,-13.90996243,-5.126226607,0.175573753,3.700762118,-4.401867573,-19.56172074,10.53333333,-8.028387405,Zack Littell,15823,641793
Luis Gil ,NYY,SP,351.6099854,97.0894,-6.737857695,-7.880170662,-0.816326692,0.229983025,-4.380429745,-19.58480177,10.53333333,-8.051468435,Luis Gil,21052,661563
Max Lazar ,PHI,RP,999,38.3619,-3.454584998,-2.472126608,-6.397577137,-3.54164989,-3.755688507,-19.62162714,10.53333333,-8.088293808,Max Lazar,23426,676661
Paxton Schultz ,WSN,RP,999,36.3658,-3.007611912,-3.090566219,-6.08248517,-3.54164989,-3.939866105,-19.6621793,10.53333333,-8.128845965,Paxton Schultz,25501,687606
Zach McCambley ,MIA,RP,999,38.0988,-3.261661295,-3.78611861,-5.831214794,-3.54164989,-3.244966082,-19.66561067,10.53333333,-8.132277339,Zach McCambley,sa3014478,685112
Steven Wilson ,TBR,RP,999,43.2281,-4.842948287,-3.387155713,-5.428567131,-3.54164989,-2.521935062,-19.72225608,10.53333333,-8.18892275,Steven Wilson,20353,621051
Jimmy Herget ,COL,RP,999,70.2889,-6.783498185,-5.247751996,-3.465036669,-3.247380966,-0.981523454,-19.72519127,10.53333333,-8.191857937,Jimmy Herget,17556,623474
Tyler Gilbert ,CHW,SP/RP,999,36.6302,-3.136781166,-3.364598665,-6.151979022,-3.54164989,-3.575407498,-19.77041624,10.53333333,-8.237082908,Tyler Gilbert,17964,656457
Dean Kremer ,BAL,SP,999,109.588,-9.356990798,-6.123441428,-1.006124619,1.021125166,-4.320843069,-19.78627475,10.53333333,-8.252941415,Dean Kremer,19350,665152
Tommy Kahnle ,BOS,RP,744.5599976,40.3217,-3.394413186,-4.815465252,-5.938407927,-3.54164989,-2.163053371,-19.85298963,10.53333333,-8.319656294,Tommy Kahnle,11384,592454
Grant Wolfram ,BAL,RP,999,38.6562,-2.953676046,-4.262668858,-5.87437534,-3.54164989,-3.229153034,-19.86152317,10.53333333,-8.328189834,Grant Wolfram,21623,664991
Luis Curvelo ,TEX,RP,999,36.4756,-3.794506478,-3.409744211,-6.144232332,-3.54164989,-2.981509564,-19.87164248,10.53333333,-8.338309143,Luis Curvelo,24710,681168
Dustin May ,STL,SP,436.5899963,142.606,-10.61819327,-9.769822122,1.794932142,3.096823774,-4.393369276,-19.88962875,10.53333333,-8.35629542,Dustin May,19716,669160
AJ Blubaugh ,HOU,RP,748.3300171,39.0635,-3.563887564,-3.550589001,-5.860006742,-3.013759209,-3.971281584,-19.9595241,10.53333333,-8.426190766,AJ Blubaugh,31764,805123
John King ,MIA,RP,999,45.2234,-2.116432125,-4.803241858,-6.425780759,-3.54164989,-3.094361668,-19.9814663,10.53333333,-8.448132968,John King,22051,667463
Eric Orze ,MIN,RP,999,60.1703,-4.517124782,-6.043606814,-4.020995169,-3.54164989,-1.861558884,-19.98493554,10.53333333,-8.451602206,Eric Orze,27626,679358
Kai-Wei Teng ,HOU,SP,999,46.7051,-4.329796072,-4.126453119,-4.949721102,-2.870877171,-3.713672214,-19.99051968,10.53333333,-8.457186345,Kai-Wei Teng,24282,678906
Griff McGarry ,WSN,RP,999,42.2998,-3.095976846,-5.529678555,-5.016652255,-3.54164989,-2.868711689,-20.05266924,10.53333333,-8.519335903,Griff McGarry,sa3017130,676046
Chris Bassitt ,BAL,SP,361.8500061,167.365,-11.65417404,-12.45603904,3.873707877,4.547249111,-4.383321568,-20.07257766,10.53333333,-8.539244323,Chris Bassitt,12304,605135
Brady Singer ,CIN,SP,382.7600098,167.062,-14.37079808,-10.15208439,4.137345744,4.773423271,-4.486521931,-20.09863539,10.53333333,-8.565302054,Brady Singer,25377,663903
Carson Whisenhunt ,SFG,SP,999,38.4474,-3.251234052,-3.934918393,-6.336899688,-2.289331831,-4.289965007,-20.10234897,10.53333333,-8.569015638,Carson Whisenhunt,31676,687931
Joel Peguero ,SFG,RP,999,44.2414,-3.430905726,-5.67477715,-5.857947681,-3.54164989,-1.617225585,-20.12250603,10.53333333,-8.589172699,Joel Peguero,21951,666711
Max Meyer ,MIA,SP,290.5100098,127.695,-9.757932449,-9.032925702,0.932893066,2.07806503,-4.385597703,-20.16549776,10.53333333,-8.632164425,Max Meyer,27474,676974
Matt Pushard ,STL,RP,999,49.3427,-3.67601972,-4.523511896,-5.286008169,-3.54164989,-3.176053782,-20.20324346,10.53333333,-8.669910124,Matt Pushard,sa3019955,690155
Taj Bradley ,MIN,SP,503.4400024,139.111,-11.88510961,-9.468916646,2.399653651,3.125129802,-4.381476191,-20.21071899,10.53333333,-8.677385655,Taj Bradley,22543,671737
Kaleb Ort ,LAA,RP,999,37.0019,-4.10594143,-3.131584708,-5.816450136,-3.54164989,-3.630397519,-20.22602368,10.53333333,-8.692690351,Kaleb Ort,20061,672391
Nick Martinez ,TBR,SP,737.2299805,141.367,-12.20474401,-7.397980108,0.262870746,3.338947497,-4.246746581,-20.24765245,10.53333333,-8.714319119,Nick Martinez,12730,607259
Juan Mejia ,COL,RP,999,64.3624,-6.594517955,-7.829284276,-3.404189526,-3.54164989,1.098199242,-20.27144241,10.53333333,-8.738109073,Juan Mejia,23237,675848
