Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Solomon Bates,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nathan Wiles,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tommy Molsky,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Gerardo Carrillo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tanner Burns,0.0,0,0,0,0.0,9999,0.0,FA,0.255099501597816
Free Agent,Chaz Hebert,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Mears,4.29,45,0,17,1.16,788,0.0,FA,-3.35
Free Agent,Kaleb Fleck,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyson Witherspoon,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dedgar Jimenez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Eder,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brad Boxberger,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Carlos Belen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Leftwich,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brock Dykxhoorn,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Quinn Priester,3.73,107,9,0,1.27,493,0.0,FA,-6.06
Free Agent,Quintin Torres-Costa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryan Hudson,2.45,12,0,3,1.09,886,0.0,FA,0.0
Free Agent,Nick Kennedy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tayler Saucedo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Flores,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nash Walters,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Daniels,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Morales,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Aaron Combs,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryse Wilson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zachary Root,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Jensen,0.0,0,0,0,0.0,9999,0.0,FA,-9.15583054613195
Free Agent,Khristian Curtis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,McKinley Moore,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Waldron,0.0,0,0,0,0.0,9999,0.0,FA,-16.9371691216325
