Avail,Player,ERA,K,QS,SHD,WHIP,Rank,CBS Salary,Contract Status,Dollars
Free Agent,Justin Wilson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brad Kuntz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Drew VerHagen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brock Porter,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Hoffmann,5.43,75,0,19,1.76,929,0.0,FA,-7.58
Free Agent,Nick Kuzia,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wilian Bormie,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luke Albright,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Henry Gomez,0.0,0,0,0,0.0,9999,0.0,FA,-7.03326975896604
Free Agent,Marco Duarte,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Patricio Aquino,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Troy Watson,0.0,0,0,0,0.0,9999,0.0,FA,-2.3696654571157
Free Agent,Grayson Thurman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jordan Foley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,JT Chargois,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Griffin Herring,0.0,0,0,0,0.0,9999,0.0,FA,-13.2000426601652
Free Agent,Roansy Contreras,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jhosmer Alvarez,0.0,0,0,0,0.0,9999,0.0,FA,4.83378871813283
Free Agent,Brett Hanewich,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Skylar Hales,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Raquet,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brandon Alger,0.0,0,0,0,0.0,9999,0.0,FA,-5.47971381759204
Free Agent,Cole Sulser,2.2,89,0,10,1.16,490,0.0,FA,-3.99
Free Agent,Ben Klimesh,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Wilkel Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Victor Castaneda,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cody Beckman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hunter Patteson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joey Mancini,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brady Smith,0.0,0,0,0,0.0,9999,0.0,FA,23.7579718538709
Free Agent,Jackson Baumeister,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Keegan Thompson,0.0,0,0,0,0.0,9999,0.0,FA,-11.26
Free Agent,Tommy Mace,0.0,0,0,0,0.0,9999,0.0,FA,-1.15921464013414
Free Agent,Cole Sands,4.43,68,0,13,1.17,711,0.0,FA,1.7
Free Agent,Matt Walker,0.0,0,0,0,0.0,9999,0.0,FA,9.51205390485283
Free Agent,Ryan Beckman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Miguel Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,-7.36113595645908
Free Agent,Brett Ash,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jorge Marcheco,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Gabe Bierman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Gregory Santos,0.0,0,0,0,0.0,9999,0.0,FA,1.95686316973364
Free Agent,Brandan Bidois,0.0,0,0,0,0.0,9999,0.0,FA,-11.33
Free Agent,Matt Lollis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brandon Williamson,4.11,52,4,1,1.23,734,0.0,FA,-13.56
Free Agent,Mathias LaCombe,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Little,0.0,0,0,0,0.0,9999,0.0,FA,-6.57103308356307
Free Agent,Edgardo Henriquez,3.15,21,0,5,1.55,838,0.0,FA,-6.16
Free Agent,Steve Hajjar,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dan Hammer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jalen Beeks,0.0,0,0,0,0.0,9999,0.0,FA,-3.88
Free Agent,Tyler Thomas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cristian Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jorge Marban,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mychal Givens,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Richard Fitts,0.0,0,0,0,0.0,9999,0.0,FA,-12.12
Free Agent,Joe Mantiply,0.0,0,0,0,0.0,9999,0.0,FA,-2.2771054850683
Free Agent,Ben Holmes,0.0,0,0,0,0.0,9999,0.0,FA,-7.7854740177715
Free Agent,Ryan Pressly,0.0,0,0,0,0.0,9999,0.0,FA,10.1500741728815
Free Agent,David Roseboom,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Boston Bateman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryan Pope,0.0,0,0,0,0.0,9999,0.0,FA,39.4845293185552
Free Agent,Kyle Robinson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Durbin Feltman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joel Seddon,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Julian Garcia,0.0,0,0,0,0.0,9999,0.0,FA,-3.47350663517656
Free Agent,Thomas White,0.0,0,0,0,0.0,9999,0.0,FA,-5.20005093214285
Free Agent,Reid Humphreys,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cody Laweryson,3.46,25,0,4,1.12,846,0.0,FA,-6.94
Free Agent,Antonio Jimenez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hunter Bigge,2.31,79,0,9,1.09,575,0.0,FA,-4.83
Free Agent,Austin Pope,0.0,0,0,0,0.0,9999,0.0,FA,-1.76945999396208
Free Agent,Ethan Pecko,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jimmy Reyes,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joe Corbett,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hagen Danner,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Robert Ahlstrom,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Barret Loux,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Bryan Evans,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Owen Murphy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alex Balog,0.0,0,0,0,0.0,9999,0.0,FA,-7.1525513054617
Free Agent,Chris Flexen,0.0,0,0,0,0.0,9999,0.0,FA,35.9797488795542
Free Agent,Bryce Tassin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kohl Drake,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,John Lujan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yaramil Hiraldo,4.88,28,0,3,1.46,917,0.0,FA,0.0
Free Agent,Andrew Saalfrank,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Henry Lalane,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,John Matthews,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Will Roberts,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Higgins,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hunter Owen,0.0,0,0,0,0.0,9999,0.0,FA,24.6786177163391
Free Agent,Rodrigo Benoit,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brant Hurter,0.0,0,0,0,0.0,9999,0.0,FA,-0.98
Free Agent,Eduard Santos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lane Ramsey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nick Anderson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Manning,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chase Petty,0.0,0,0,0,0.0,9999,0.0,FA,-16.24
Free Agent,Jack Hartman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Travis Kuhn,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Will Ethridge,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alessandro Ercolani,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Yarbrough,3.67,40,4,0,1.09,680,0.0,FA,-5.22
Free Agent,Hobie Harris,0.0,0,0,0,0.0,9999,0.0,FA,-3.84256765168081
Free Agent,Tyler Duffey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Juan Caballero,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jonathan Bowlan,4.18,60,0,7,1.3,787,0.0,FA,-5.4
Free Agent,Cole Waites,0.0,0,0,0,0.0,9999,0.0,FA,-7.4806819511781
Free Agent,Jordan DiValerio,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,James Hicks,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Garrett Cleavinger,3.0,78,0,30,1.16,543,0.0,FA,12.72
Free Agent,Nick Sinacola,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mason Adams,0.0,0,0,0,0.0,9999,0.0,FA,8.31816922919443
Free Agent,Alex Carrillo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lincoln Henzman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yilber Diaz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jean Cabrera,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kevin McAvoy,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Stiven Cruz,0.0,0,0,0,0.0,9999,0.0,FA,-6.41716900818571
Free Agent,Madison Jeffrey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hayden Merda,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Robert Gsellman,0.0,0,0,0,0.0,9999,0.0,FA,-3.08476389101539
Free Agent,Jordany Ventura,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alex Scherff,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Steven Gingery,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Hyun-il Choi,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Josh Turley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,J.C. Sulbaran,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adam Bray,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chase Hampton,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Steve Perakslis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jackson Fristoe,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lake Bachar,4.17,78,0,11,1.29,692,0.0,FA,-6.91
Free Agent,JP Sears,0.0,0,0,0,0.0,9999,0.0,FA,-6.06
Free Agent,Zane Russell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,George Klassen,0.0,0,0,0,0.0,9999,0.0,FA,-9.95
Free Agent,Jackson Ferris,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Harrison,4.04,133,9,0,1.26,529,0.0,FA,-8.8
Free Agent,Michael Flynn,0.0,0,0,0,0.0,9999,0.0,FA,-9.21111596155249
Free Agent,Jefry Yan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jaron Long,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brian Keller,0.0,0,0,0,0.0,9999,0.0,FA,2.49331002781017
Free Agent,Michael Rucker,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Yovanny Cruz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Elvin Rodriguez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Trevin Michael,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Josh James,0.0,0,0,0,0.0,9999,0.0,FA,13.1736681975845
Free Agent,Josh Knoth,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Scott Griggs,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jedixson Paez,4.09,10,0,2,1.27,912,0.0,FA,-7.62
Free Agent,Miguel Figueroa,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Shane Drohan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Michael Bienlien,0.0,0,0,0,0.0,9999,0.0,FA,-34.7311252578924
Free Agent,Stetson Allie,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Holden Powell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake McSteen,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Cyr,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Izack Tiger,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Sears,0.0,0,0,0,0.0,9999,0.0,FA,0.200423827232847
Free Agent,Scott Weathersby,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Grant Taylor,4.85,99,0,27,1.43,715,0.0,FA,10.25
Free Agent,Conor Harber,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Bremer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kodai Senga,4.34,135,7,0,1.37,274,0.0,FA,-1.12
Free Agent,Adam Mazur,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Plesac,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Amilcar Chirinos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jhondaniel Medina,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Casey Legumina,5.28,47,0,6,1.33,831,0.0,FA,-7.44
Free Agent,Ryan Smith,0.0,0,0,0,0.0,9999,0.0,FA,-0.827183063265202
Free Agent,Nick Mondak,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Davis,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Manuel Alvarez,0.0,0,0,0,0.0,9999,0.0,FA,-10.1218383428569
Free Agent,Codi Heuer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zach Lovvorn,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Santiago Suarez,0.0,0,0,0,0.0,9999,0.0,FA,10.0252821059792
Free Agent,Matt Seelinger,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dax Fulton,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Joel Payamps,4.95,39,0,14,1.27,866,0.0,FA,-3.65
Free Agent,Mike Kaelin,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Schulfer,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Sam Hentges,3.69,53,0,21,1.15,776,0.0,FA,0.0
Free Agent,Chase Dollander,6.3,10,0,2,1.6,941,0.0,FA,-35.89
Free Agent,Alex Young,0.0,0,0,0,0.0,9999,0.0,FA,-7.1525513054617
Free Agent,Tyler Woessner,0.0,0,0,0,0.0,9999,0.0,FA,-0.922114293042174
Free Agent,Brock Stewart,3.15,49,0,21,1.27,761,0.0,FA,0.0
Free Agent,Brett Daniels,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Dreyer,3.0,70,0,13,1.12,607,0.0,FA,-0.27
Free Agent,Yuki Matsui,4.14,53,0,7,1.36,772,0.0,FA,-6.48
Free Agent,Kohl Simas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Brooks Raley,2.21,54,0,25,0.79,531,0.0,FA,3.56
Free Agent,Bernie Martinez,0.0,0,0,0,0.0,9999,0.0,FA,-8.71431911921713
Free Agent,Mark Peterson,0.0,0,0,0,0.0,9999,0.0,FA,-4.527373987489
Free Agent,Blair Henley,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Connor Van Scoyoc,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Cisnero,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cade Povich,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Bugner,0.0,0,0,0,0.0,9999,0.0,FA,6.16738322910557
Free Agent,Franklin German,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ben Vespi,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marcus Evey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,J.B. Bukauskas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Wolters,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Derek Eitel,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andre Pallante,4.53,104,9,0,1.31,661,0.0,FA,-19.42
Free Agent,Jacob Edwards,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cole Paplham,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chris Veach,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Shreve,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Coleman Crow,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kade McClure,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Landen Roupp,4.75,119,10,0,1.49,667,0.0,FA,-7.66
Free Agent,Shane Smith,3.49,153,8,0,1.14,247,0.0,FA,-0.83
Free Agent,Jake Sommers,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tommy Parsons,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis Pacheco,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis Ledo,0.0,0,0,0,0.0,9999,0.0,FA,-13.0908285310577
Free Agent,Adam Seminaris,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jaycob Deese,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chad Dallas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Dylan Smith,0.0,0,0,0,0.0,9999,0.0,FA,-0.827183063265202
Free Agent,Tony Dibrell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Patrick Copen,0.0,0,0,0,0.0,9999,0.0,FA,-16.2722965526307
Free Agent,Chad Patrick,3.42,145,7,0,1.26,267,0.0,FA,-7.58
Free Agent,Max Roberts,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,River Ryan,0.0,0,0,0,0.0,9999,0.0,FA,-9.17
Free Agent,Zach Pop,7.0,13,0,4,1.44,940,0.0,FA,0.0
Free Agent,Justin Anderson,0.0,0,0,0,0.0,9999,0.0,FA,-9.83186109003951
Free Agent,Kyle Brnovich,0.0,0,0,0,0.0,9999,0.0,FA,14.7556401734751
Free Agent,Riley Frey,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Juan De La Cruz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Glasnow,3.74,164,14,0,1.17,114,0.0,FA,14.22
Free Agent,Zach Fogell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Elieser Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Max Herrmann,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Paul Blackburn,0.0,0,0,0,0.0,9999,0.0,FA,-7.53
Free Agent,Starling Peralta,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Andrew Schwaab,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Patrick Reilly,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Evan Taylor,0.0,0,0,0,0.0,9999,0.0,FA,10.2486228739227
Free Agent,Santiago Garrido,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Lucas Sims,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ramon Santos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matt Alvarez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Francisco Perez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Frankie Montas,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chris Murphy,3.34,89,0,11,1.25,516,0.0,FA,-7.76
Free Agent,Elijah Dale,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Rio Gomez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Luis Medina,4.41,44,3,1,1.39,777,0.0,FA,-13.09
Free Agent,Corbin Martin,0.0,0,0,0,0.0,9999,0.0,FA,9.11614131505501
Free Agent,Joseph Montalvo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cooper Adams,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Francisco Rios,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adam Smith,0.0,0,0,0,0.0,9999,0.0,FA,23.7579718538709
Free Agent,Joe Rogers,0.0,0,0,0,0.0,9999,0.0,FA,6.16738322910557
Free Agent,Will Schomberg,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chris Martin,3.15,63,0,29,1.18,628,0.0,FA,9.12
Free Agent,Wandisson Charles,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Corey Black,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,William Dion,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Logan McGuire,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Quinn,0.0,0,0,0,0.0,9999,0.0,FA,-0.692458846520543
Free Agent,LJ McDonough,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Austin Hyatt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jeremy Wu-Yelland,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Alec Kenilvort,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daniel Duarte,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Newell,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zack Plunkett,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jeff Ibarra,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Reagan Todd,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tanner Witt,0.0,0,0,0,0.0,9999,0.0,FA,7.5119748058047
Free Agent,Jacob Bird,5.21,63,0,12,1.56,860,0.0,FA,-3.81808212475584
Free Agent,Saul Garcia,0.0,0,0,0,0.0,9999,0.0,FA,-3.47350663517656
Free Agent,Luis Garcia,3.78,45,0,14,1.42,829,0.0,FA,-3.47
Free Agent,Luis Garcia,3.78,45,0,14,1.42,829,0.0,FA,-3.86
Free Agent,Brayan Medina,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Rogers,0.0,0,0,0,0.0,9999,0.0,FA,6.16738322910557
Free Agent,Kenny Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jake Walsh,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Blake Walston,4.76,17,1,0,1.41,896,0.0,FA,0.0
Free Agent,Corbin Clouse,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Nestor German,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Travis Banwart,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Javen Coleman,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Keythel Key,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Tyler Jay,0.0,0,0,0,0.0,9999,0.0,FA,-2.36778280114578
Free Agent,Braxton Ashcraft,3.42,130,6,0,1.22,266,0.0,FA,-1.47
Free Agent,Sterling Sharp,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Endrys Briceno,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Evan McKendry,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Zack Burdi,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,David Buchanan,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Marlon Arias,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jay Jackson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Diomar Lopez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Eury Ramos,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,John Stankiewicz,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Mitch Horacek,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Cameron Booser,5.08,47,0,12,1.56,869,0.0,FA,0.0
Free Agent,Jeremy Kehrt,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Matthew Thompson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Kyle Smith,0.0,0,0,0,0.0,9999,0.0,FA,23.7579718538709
Free Agent,Liomar Martinez,0.0,0,0,0,0.0,9999,0.0,FA,-8.71431911921713
Free Agent,Craig Stem,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Lambert,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Chris Kean,0.0,0,0,0,0.0,9999,0.0,FA,9.11614131505501
Free Agent,Clay Edmondson,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Juan Grullon,0.0,0,0,0,0.0,9999,0.0,FA,-10.9994931683982
Free Agent,Trace Bright,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Shane Greene,0.0,0,0,0,0.0,9999,0.0,FA,6.44194100052151
Free Agent,Blair Calvo,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Daury Vasquez,0.0,0,0,0,0.0,9999,0.0,FA,-24.9603132708368
Free Agent,Ryan Lillie,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jack Weisenburger,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Adrian Acosta,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Peter Tago,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Ryan Fernandez,0.0,0,0,0,0.0,9999,0.0,FA,-6.96
Free Agent,Ian Gibaut,0.0,0,0,0,0.0,9999,0.0,FA,0.0
Free Agent,Jose Nin,0.0,0,0,0,0.0,9999,0.0,FA,1.0
Free Agent,Carlos Hernandez,0.0,0,0,0,0.0,9999,0.0,FA,0.0
